Gene_id	Empty_ASV_2h_1	Empty_ASV_2h_2	Empty_ASV_2h_3	Empty_ASV_4h_1	Empty_ASV_4h_2	Empty_ASV_4h_3	Empty_DMSO_2h_1	Empty_DMSO_2h_2	Empty_DMSO_2h_3	Empty_DMSO_4h_1	Empty_DMSO_4h_2	Empty_DMSO_4h_3	Ascl1_ASV_2h_1	Ascl1_ASV_2h_2	Ascl1_ASV_2h_3	Ascl1_ASV_4h_1	Ascl1_ASV_4h_2	Ascl1_ASV_4h_3	Ascl1_DMSO_2h_1	Ascl1_DMSO_2h_2	Ascl1_DMSO_2h_3	Ascl1_DMSO_4h_1	Ascl1_DMSO_4h_2	Ascl1_DMSO_4h_3
Sez6l2	4	0	1	6	7	0	0	1	0	0	0	0	0	2	0	2	0	0	4	0	0	0	1	0
Sf1	392	0	184	761	758	0	0	57	0	25	158	0	118	65	0	527	43	115	209	567	135	77	140	159
Sf3a1	222	17	144	1004	683	2	0	132	2	24	256	0	62	121	0	567	37	89	374	531	101	53	73	98
Sf3a2	80	2	68	354	218	0	0	86	0	6	124	0	26	57	0	242	12	39	167	260	48	18	31	27
Sf3a3	88	0	76	200	166	0	0	25	0	11	18	0	45	22	0	81	29	31	72	121	40	10	25	33
Sf3b1	258	5	150	587	505	0	0	54	0	10	101	0	65	81	0	342	60	83	227	274	83	25	38	84
Sf3b2	60	1	62	176	168	0	0	30	0	3	75	0	13	35	0	138	10	13	96	136	25	6	20	37
Sf3b3	270	1	139	613	510	0	0	121	4	27	204	0	54	86	1	374	42	47	223	349	70	24	60	61
Sf3b4	346	6	225	865	729	0	0	53	3	3	166	0	99	93	0	486	74	119	325	555	137	50	85	148
Sf3b5	112	0	47	124	136	0	0	9	6	2	22	1	29	15	1	85	17	23	14	75	23	9	22	17
Sf3b6	126	0	59	172	170	0	0	10	0	0	10	0	23	8	0	85	16	16	67	83	22	10	30	25
Sfi1	10	0	7	41	20	0	0	4	0	5	5	0	0	4	0	24	1	0	5	9	3	3	3	3
Sfmbt1	34	0	17	65	60	0	0	5	0	4	8	0	15	5	0	37	4	9	20	31	4	3	8	10
Sfmbt2	0	0	6	23	17	0	0	2	0	2	3	0	3	1	0	12	2	4	21	3	4	1	3	1
Sfn	74	12	90	441	342	0	0	203	0	16	180	0	27	66	0	306	6	31	229	312	33	16	26	55
Sfpq	368	0	234	1391	1066	0	1	131	2	28	265	0	165	119	0	571	82	142	477	552	117	88	129	159
Sfr1	532	3	368	1217	1134	0	0	159	4	28	325	0	134	139	0	869	92	156	533	627	112	59	84	152
Sfrp1	128	15	88	547	379	0	0	91	0	24	151	0	42	46	1	140	16	32	249	232	41	9	37	29
Sfrp2	12	0	4	40	22	0	0	1	0	0	3	0	5	3	0	7	2	1	15	16	2	1	7	1
Sfrp4	6	0	1	9	12	0	0	4	0	2	4	0	3	1	0	13	0	3	4	7	4	0	4	4
